"Lof Coupon Code","Lof Coupon Code"
"General Settings","General Settings"
"Enable Module","Enable Module"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Show List Coupons On Customer Dashboard","Show List Coupons On Customer Dashboard"
"Show/Hide List Coupons On Customer Dashboard.","Show/Hide List Coupons On Customer Dashboard."
"Enable Redeem Coupon On Frontend","Enable Redeem Coupon On Frontend"
"Redeem Coupon Only For Customer","Redeem Coupon Only For Customer"
"Redeem Url","Redeem Url"
"Allow Send Email","Allow Send Email"
"Allow/Dont allow send email when genereate coupon code.","Allow/Dont allow send email when genereate coupon code."
"Allow Save Log When Redeem Frontend Coupon","Allow Save Log When Redeem Frontend Coupon"
"Allow/Dont allow Logged Coupon Code Info when generated on frontend.","Allow/Dont allow Logged Coupon Code Info when generated on frontend."
"Allow Track Coupon Log On Frontend","Allow Track Coupon Log On Frontend"
"Allow/Dont allow tracking coupon log on frontend.","Allow/Dont allow tracking coupon log on frontend."
"Tracking Url","Tracking Url"
"Input tracking url of coupon log. Default: track-coupon","Input tracking url of coupon log. Default: track-coupon"
"Lof Redeem Coupon Form","Lof Redeem Coupon Form"
"Widget Title","Widget Title"
"This title will be showed as header of widget block. Empty to disable","This title will be showed as header of widget block. Empty to disable"
"Addition Class","Addition Class"
"This class is used to make owner style for the widget.","This class is used to make owner style for the widget."
"Widget Title Class","Widget Title Class"
"Input css class for widget heading title.","Input css class for widget heading title."
"Pretext Class","Pretext Class"
"Input css class for widget pretext.","Input css class for widget pretext."
"Select CMS Static block as Pretext","Select CMS Static block as Pretext"
"Discount Rule","Discount Rule"
"Select a rule to generate coupon code.","Select a rule to generate coupon code."
"Only Customer Can View","Only Customer Can View"
"Show Email Field","Show Email Field"
"Show Name Field","Show Name Field"
"Show Qrcode","Show Qrcode"
"Show Action Button","Show Action Button"
"Qrcode Width","Qrcode Width"
"Input qrcode width. Default: 200","Input qrcode width. Default: 200"
"Qrcode Height","Qrcode Height"
"Input qrcode height. Default: 200","Input qrcode height. Default: 200"
"All Websites","All Websites"
"Store View","Store View"
Delete,Delete
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"Created At","Created At"
"From At","From At"
"Expires At","Expires At"
"Uses Per Coupon","Uses Per Coupon"
"Times Used","Times Used"
Back,Back
"Generate And Send Coupon","Generate And Send Coupon"
"Generate and Send Coupons","Generate and Send Coupons"
"Are you sure want to generate coupons for selected customers?","Are you sure want to generate coupons for selected customers?"
Group,Group
"Web Site","Web Site"
"Confirmed email","Confirmed email"
"Account Lock","Account Lock"
"Qr code","Qr code"
"Add New Rule","Add New Rule"
Disable,Disable
Enable,Enable
"Coupon Generated","Coupon Generated"
"Coupon Used","Coupon Used"
"Usage Rate","Usage Rate"
"Please save this qrcode or coupon code to get discount amount at checkout or use it to track log info by scan qrcode","Please save this qrcode or coupon code to get discount amount at checkout or use it to track log info by scan qrcode"
